id,FID,PORT,TYPE,name,RANK,TOTAL,FOREIGN_,EXPORTS,IMPORTS,DOMESTIC,Longitude,Latitude,Pop_CT,PCT_Pov,WF,IF_CEJ,PCT_TA,PCT_ACEW,PCT_TI,PCT_SV,IF_ETC,SL,PCT_CD,PCT_EB,PCT_HV,Railway_Length,Highway_Length,dock_count,lower_lat,upper_lat,lower_lon,upper_lon,Pop_C
11,105,4646,C,"Port of Portland, OR",29,22867739,12777529,3430675,9346854,10090210,-122.6653,45.47881,3853,0.24,0,0,16.5521978,56.62851296,14.57007904,4.777396444,0,0,41.76954242,96.53594538,48.94700521,56.34152241,92.38586443,0,45.47028075,45.49470661,-122.6732135,-122.6606108,815418
12,135,4719,C,"Tacoma, WA",31,19907856,16720470,6363634,10356836,3187386,-122.4515,47.28966,2709,0.45,0,0,77.34480432,33.56257288,71.55147484,4.934696601,0,0.009478117,40.90324118,39.6727797,34.67862837,34.90933361,20.17939364,58,47.23952079,47.30812108,-122.4828737,-122.35676,921147
13,124,4722,C,"Seattle, WA",32,18504702,15872064,9320186,6551878,2632638,-122.359218,47.587711,6078,0.25,0,0,41.6064199,24.74240297,39.87733757,36.76295343,0,0.0357975,68.68088656,98.33291626,12.15524832,188.3832219,118.7885254,49,47.55134029,47.62444464,-122.3859498,-122.331901,2269697
14,92,4727,C,"Port of Everett, WA",147,1190559,756567,618684,137883,433992,-122.2294,47.98476,4677,0.67,0,0,47.73110661,27.3873831,44.44765761,58.56928357,1,0.021155284,66.76954242,99.2075692,16.80508293,46.20898861,32.88795741,18,47.96268218,48.00633691,-122.2458042,-122.2128899,827953
15,4,4730,C,"Anacortes, WA",41,12181632,3948565,2491832,1456733,8233067,-122.59961,48.495943,1518,0.58,0,1,23.62516869,83.64705042,24.0372566,76.87330187,1,0.073777731,90.29194471,90.12142661,82.30968755,14.04569107,19.16504057,2,48.47507698,48.51651451,-122.6101591,-122.588854,129524
16,19,4659,C,"Coos Bay OR, Port of",99,2824976,2771532,420963,2350569,53444,-124.2095,43.36351,4225,0.79,0,1,79.00520532,7.32456036,73.22031039,57.65408265,0,0.152470331,25.96758818,60.70615713,13.09283012,18.18722462,16.6210821,8,43.33555144,43.39219865,-124.2280235,-124.1916445,64933
17,118,4240,C,"Sacramento-Yolo Port, CA",138,1417033,1416993,1222976,194017,40,-121.541541,38.561323,1146,0.1,0,0,45.98154039,19.97953502,42.76797764,37.5017875,0,0,23.38060057,88.81659696,15.94008043,52.2300413,82.2166539,8,38.54886222,38.57484718,-121.5650849,-121.5162332,216409
18,134,4270,C,"Stockton, CA",73,4944378,4896888,3740657,1156231,47490,-121.3156,37.9527,1980,0.68,0,1,56.11022749,32.97479951,65.03036437,93.17412651,1,0,71.79456625,99.54003265,36.41577232,94.33494441,63.29125663,15,37.94497179,37.96030291,-121.3405749,-121.2901641,779230
19,102,4344,C,"Port of Oakland, CA",33,18010685,17287984,8853589,8434395,722701,-122.3081,37.82152,3210,0.46,0,0,47.46240602,3.019774885,57.79834201,35.92044425,1,0.257724907,74.49833174,96.06763665,12.42533851,142.4767883,121.8205985,23,37.76853392,37.87351315,-122.3363835,-122.2802559,1682349
20,120,4335,C,"San Francisco Port, CA",120,2009293,1417785,1386683,31102,591508,-122.399042,37.806665,3151,0.71,0,0,4.181125892,36.004093,3.855793329,61.72601173,0,0.2838666,87.15324118,97.80025977,60.80003807,0,63.99392529,26,37.73449362,37.82076368,-122.4543552,-122.3691245,873950
21,116,4351,C,"Richmond, CA",28,23578065,14885709,11093631,3792078,8692356,-122.374233,37.924237,3412,0.27,0,0,74.15534027,3.197058754,72.56482553,33.46322513,1,0.2316813,56.78741659,93.46274384,16.750351,125.9498217,67.27190809,21,37.9062542,37.94237329,-122.4043991,-122.3438541,1165930
22,115,4340,C,"Redwood City, CA",124,1823121,1737936,1563541,174395,85185,-122.214012,37.50536,3954,0.48,0,0,60.47450357,11.2795374,58.38755543,67.57829258,0,1.829901789,15.82102002,71.28421454,15.56052638,18.75608297,50.35893819,6,37.49621155,37.52661395,-122.2316641,-122.1890487,764432
23,77,4151,C,"Oxnard Harbor District, CA",91,3158031,3158031,2370212,787819,0,-119.208475,34.148244,2398,0.34,0,0,10.80104106,30.29769412,9.422594949,63.66008866,0,0.385742862,67.63465205,86.48577795,50.46641125,29.69529171,17.25968708,8,34.14194318,34.15467581,-119.2201373,-119.1975304,843840
24,101,4120,C,"Port of Los Angeles, CA",11,59819381,56474626,41627560,14847066,3344755,-118.268099,33.726635,1237,0,0,0,38.51696549,5.608833258,44.72840756,65.05314839,0,0.040210003,46.76239276,92.05185953,12.08980796,106.3006601,33.91893028,71,33.68187949,33.77204729,-118.291175,-118.2454415,10013976
25,99,4110,C,"Port of Long Beach, CA",5,92958926,79724479,57922904,21801575,13234447,-118.2095,33.73957,14,0.99,0,1,28.46900906,18.64693144,31.54159437,99.99880833,1,0.163519718,45.05243089,95.27163098,50.60324108,103.4808314,24.65158909,61,33.691364,33.78465,-118.242843,-118.1596911,10013976
26,119,4102,C,"San Diego Unified Port, CA",123,1911950,1563246,1473077,90169,348704,-117.1784,32.70821,4066,0,0,0,26.4085695,16.5861552,25.43618662,38.77687211,0,0.148434323,82.43922784,97.53810222,25.56933108,38.48090921,115.5992293,32,32.62935874,32.73641677,-117.2463198,-117.1174344,3298648
27,20,2436,C,"Corpus Christi, TX",3,174327410,148617624,17214855,131402769,25709786,-97.39789,27.81277,2730,0.79,0,1,72.53831695,39.14760964,98.35164835,81.38018971,1,0.398266001,48.55219256,83.9214004,22.78276182,44.69976388,72.05149245,34,27.79186893,27.85423283,-97.43590713,-97.37250383,353175
28,144,2399,C,"Victoria, TX",121,1994768,0,0,0,1994768,-96.97247,28.69131,3225,0.59,1,1,89.11099865,51.49917902,99.47585309,94.664903,1,0.015102668,23.23403241,31.94151503,43.19182353,47.41633969,0,3,28.67756624,28.70329135,-96.97883171,-96.96479983,91322
29,11,2427,C,"Calhoun Port Authority, TX",77,4424143,2374095,696488,1677607,2050048,-96.592324,28.629389,4605,0.78,0,1,29.7462406,98.19384623,27.78340081,79.19467086,1,0.148552897,61.81124881,51.40552199,89.08454894,0,12.86644873,21,28.59259543,28.66743211,-96.65401973,-96.52721313,20105
30,86,2408,C,"Port Freeport, TX",19,31550159,25300870,5263251,20037619,6249289,-95.3707,28.96133,6037,0.81,0,1,39.36162522,88.575304,40.51354347,90.05553172,1,0.1214167,78.23522402,99.28144997,82.28708088,45.79533704,34.44388847,29,28.92455327,28.96534966,-95.37335105,-95.3122864,372035
31,138,2428,C,"Texas City, TX",17,32855222,19730223,4517718,15212505,13124999,-94.918091,29.363068,2699,0.69,0,1,61.64449586,62.80132308,69.7127434,79.85485485,1,3.331735398,68.17683508,95.64580131,43.92118602,82.90400884,26.89038024,34,29.34953727,29.37890027,-94.92589006,-94.87911714,350684
32,23,2417,C,"Galveston, TX",38,13530166,5289483,1841547,3447936,8240683,-94.8127,29.31049,3429,0.98,1,1,78.81603046,38.91559384,98.83000771,67.49725916,1,1.06381052,79.10867493,75.00446859,18.08771387,106.5651843,52.11589621,50,29.26040886,29.33368645,-94.87690841,-94.76465339,350684
33,37,2031,C,"Houston Port Authority, TX",1,293833530,209648516,68759081,140889435,84185014,-95.293679,29.747023,3669,0.92,1,1,42.20768267,27.16845537,44.12352998,91.38543305,1,0.028902552,77.87178265,98.28048475,20.33529258,255.2834684,79.16706021,229,29.69617662,29.77517089,-95.2950064,-95.04659019,4731122
34,7,2393,C,"Beaumont, TX",7,74342746,53041728,13748369,39293359,21301018,-94.094985,30.084872,1617,0.86,1,1,23.45286293,98.88989363,39.33993638,97.0637304,1,0.401576661,98.83222116,98.51761818,97.52635462,177.0853231,56.40203353,13,30.0671119,30.09244724,-94.09735966,-94.07891034,256521
35,84,2416,C,"Port Arthur, TX",15,47506453,31242956,9996105,21246851,16263497,-93.96069,29.83142,2279,0.36,0,0,93.48611914,46.72203317,97.5913341,37.92125459,0,7.013639755,24.40896092,19.14345976,20.15562906,47.91782569,26.92577563,31,29.81596728,29.86793719,-93.98952208,-93.92975668,256521
36,74,2398,C,"Orange County Nav District, TX",83,4067804,0,0,0,4067804,-93.72356,30.09537,3283,0.75,0,0,65.3340081,44.87661519,72.45638134,72.88717289,1,1.409428011,47.78717827,78.26713855,48.00466411,24.80922205,22.5410433,8,30.07718107,30.10836302,-93.73473956,-93.7118728,84810
37,50,2248,C,"Lake Charles Harbor District, LA",10,64107156,34769422,2886211,31883211,29337734,-93.286839,30.106406,4464,0.36,0,0,91.85343166,55.07222235,87.86027569,14.27260594,0,6.039098679,32.47735939,36.01329854,27.13751993,8.420022321,10.2096898,7,30.09770919,30.11381986,-93.30923586,-93.27727437,216783
38,97,2030,C,"Port of Iberia District, LA",110,2273293,0,0,0,2273293,-91.843795,29.937314,3793,0.89,1,1,56.91873916,99.12428908,58.11764989,59.29739263,1,19.69504161,61.61224976,34.50708421,63.66870523,4.405227273,8.422546884,39,29.88424275,29.98818259,-91.88539006,-91.79392301,70288
39,147,2383,C,"West St. Mary Parish Port, LA",88,3604717,0,0,0,3604717,-91.513896,29.819673,1999,0.66,0,1,45.20676692,99.98929158,47.08044149,67.75465942,1,24.75534,85.65181125,48.96269021,95.33707731,14.08786715,19.5917999,3,29.78933269,29.85273599,-91.56239703,-91.46365418,49398
40,93,2252,C,"Port of Greater Baton Rouge, LA",8,73371577,27539560,5855390,21684170,45832017,-91.19934,30.42292,4545,0.4,0,0,46.28518411,85.47819051,68.64396568,40.50002383,1,0,55.107245,59.07958865,83.636342,61.97788469,74.13467471,23,30.37607306,30.47169771,-91.21510805,-91.1865246,27202
41,127,2253,C,"South Louisiana, LA, Port of",2,226188142,110400046,31240406,79159640,115788096,-90.61794,30.03345,1966,0.56,1,1,75.0409678,52.08100326,78.89314633,54.5974546,1,3.812527511,25.37059104,65.65140195,42.92054351,64.86154799,26.78614458,21,30.02215792,30.06009596,-90.67488077,-90.56990153,42481
42,137,2224,C,"Terrebonne Parish Port, LA",126,1804181,0,0,0,1804181,-90.659051,29.57907,2955,0.94,1,1,88.44346443,11.22480546,91.0521496,96.10920444,1,1.263971822,43.99904671,60.8086369,9.5447731,0,47.71695596,15,29.57430716,29.60808761,-90.68514482,-90.64824618,109577
43,70,2251,C,"New Orleans, LA",6,83254102,39497733,16889287,22608446,43756369,-90.085256,29.91414,1873,0.74,0,1,79.9944573,38.26475977,79.84263543,89.62295629,1,5.883773194,71.61105815,97.5941086,26.48549604,70.50210197,71.52025534,78,29.89613087,29.96317207,-90.15985889,-90.03720988,440783
44,83,2255,C,"Plaquemines Port District, LA",12,55370609,25330246,5804724,19525522,30040363,-89.687447,29.480004,1808,0.95,1,1,97.08164642,92.90031649,94.63080779,94.43371943,1,0.969463683,56.74451859,19.18874152,97.80477358,0,13.43075913,1,29.46841846,29.49180492,-89.70122437,-89.67342046,23515
45,25,1910,C,"Greater Lafourche Port, LA",63,6948460,82093,74683,7410,6866367,-90.205279,29.121945,2129,0.68,0,1,95.11157702,34.97727435,96.45628494,62.04061204,0,2.856976041,13.49976168,14.98826249,21.52630702,0,0,57,29.08617971,29.1589376,-90.23378609,-90.17661919,97565
46,95,2440,C,"Port of Gulfport, MS",118,2142878,2033576,1419974,613602,109302,-89.092568,30.359621,848,0.71,0,0,53.73529979,23.67275064,54.80648737,68.58406025,1,0.151334545,59.95114395,69.50035153,21.89515265,30.51200325,40.90197572,19,30.33709562,30.38698674,-89.11214536,-89.07264822,208620
47,104,1995,C,"Port of Pascagoula, MS",27,24077257,12632635,5939041,6693594,11444622,-88.55879,30.34802,2080,0.82,1,1,37.15900328,83.52092902,34.65876229,48.63792364,1,2.482743,70.79122974,65.39877739,81.02110749,24.23887335,24.62524043,2,30.34079848,30.3566493,-88.56854003,-88.55255928,143245
48,60,2032,C,"Mobile, AL",14,50520298,33848490,18702721,15145769,16671808,-88.035834,30.69123,3354,0.88,1,1,73.30104106,14.58487019,93.4608155,79.18990419,1,0.869723684,30.60057197,92.44152099,12.49196868,190.7470371,69.65676454,50,30.65651572,30.72511601,-88.04981529,-88.02383033,414809
49,79,2441,C,"Panama City Port Authority, FL",107,2419413,1882733,688807,1193926,536680,-85.633762,30.133998,2261,0.88,0,1,52.32191055,20.57206768,48.73120301,84.67634301,1,0.179502326,33.2113918,98.33410789,47.95350165,20.95162898,10.08867326,10,30.11005204,30.16721895,-85.66257715,-85.60696934,175208
50,41,2017,C,"Jacksonville, FL",34,17724788,8864766,7547044,1317722,8860022,-81.665125,30.322757,2320,0.94,1,1,28.973877,35.3806249,72.24672258,87.88431288,1,0.225099112,81.9506673,99.18254507,43.9782976,75.09877095,135.9016911,20,30.26394796,30.3831323,-81.7306848,-81.60318527,995566
51,89,783,C,"Port of Brunswick, GA",97,2871282,2793827,1457168,1336659,77455,-81.53666,31.132426,5359,0.51,0,0,93.57528436,7.209147372,96.45748988,13.58739692,0,0.402141383,3.646329838,32.59333405,5.07103253,24.94975637,10.89814897,14,31.09234844,31.16787805,-81.61842978,-81.44796845,84500
52,108,776,C,"Port of Savannah, GA",13,53692598,52132586,32375750,19756836,1560012,-81.095382,32.084711,2929,0.61,0,0,4.542606516,90.60633463,8.220069404,72.05538872,1,2.542949951,98.80243089,97.59172535,71.65837756,86.51748892,96.48221647,26,32.04461055,32.13538468,-81.15416518,-81.06339106,295291
53,90,775,C,"Port of Charleston, SC",23,27714537,26124171,19092127,7032044,1590366,-79.921595,32.788781,1191,0.72,0,0,4.482359746,81.49584751,4.012434933,50.38610039,0,1.713303,85.70424214,85.39663247,66.31368536,19.19921243,50.19533816,6,32.76681917,32.79315059,-79.95851062,-79.91935995,408481
54,149,766,C,"Wilmington, NC",62,7019972,6493385,3611811,2881574,526587,-77.950496,34.227365,1846,0.89,0,1,32.78147291,49.1397568,31.96332177,73.42223176,1,2.101888761,63.25786463,89.93910795,36.46693477,26.25174742,53.52483823,20,34.18040092,34.24900121,-77.95888145,-77.94017228,225707
55,62,759,C,"Morehead City, NC",108,2325088,1627716,1027477,600239,697372,-76.72421,34.71693,1236,0.27,0,0,33.21042992,96.75534826,31.02106227,56.64950665,1,0.742525,92.32483317,78.29216268,76.78890132,25.98292613,19.80369527,15,34.7122264,34.72262038,-76.74053336,-76.68613818,67685
56,146,5700,C,"Virginia, VA, Port of",9,69433624,64534599,16991280,47543319,4899025,-76.31174,36.86642,2546,0.31,0,0,31.81029497,30.23582324,29.61128783,30.54006387,0,0.262182302,50.38012393,99.38631299,13.11186731,257.5222337,57.21231589,21,36.84524503,36.88716743,-76.33256951,-76.28891478,238005
57,6,700,C,"Baltimore, MD",16,40602248,36427430,15512382,20915048,4174818,-76.56164,39.250827,5980,0.88,1,1,14.51465201,75.7585132,15.12796414,79.96329663,1,0.096135528,97.01620591,99.6603868,96.46027176,175.9168648,56.57058486,78,39.20710453,39.28679174,-76.63468796,-76.52104707,854554
58,148,555,C,"Wilmington, DE",54,8672852,7913566,7059319,854247,759286,-75.50697,39.71589,2131,0,0,0,52.31106613,27.15298765,60.24797571,72.10543877,1,1.894016479,64.23856053,94.93797591,22.47102777,64.94331919,20.20703115,5,39.70099198,39.73165423,-75.52616963,-75.50416903,570713
59,126,550,C,"South Jersey Port Corp, NJ",30,20129854,11941638,10942829,998809,8188216,-75.261085,39.846445,4816,0.47,0,0,41.88475998,46.89812722,40.23038365,26.2977263,0,2.338228441,33.60700667,86.3797233,24.32239488,48.8632096,12.01323824,5,39.84035797,39.85144489,-75.2787062,-75.24267373,302273
60,81,552,C,"Philadelphia Regional Port, PA",18,31790943,18851481,11569804,7281677,12939462,-75.202191,39.91882,7109,0,0,0,7.533256217,83.12947672,7.615191826,84.60841794,1,0,97.97545281,99.91301136,97.37405706,140.5602765,83.51791539,6,39.89371375,39.91987194,-75.21478321,-75.18775885,1603793
61,71,398,C,"New York, NY & NJ",4,141290423,100748359,85522255,15226104,40542064,-74.038357,40.673949,2223,0.67,0,0,50.52896665,11.01420651,46.98525159,58.63959197,1,0.031374168,70.76739752,99.11938893,13.16659924,5.310926804,13.23278936,238,40.54983396,40.78681678,-74.15580953,-73.9229843,2736119
62,87,522,C,"Port Jefferson, NY",111,2258433,0,0,0,2258433,-73.07216,40.94881,4843,0.08,0,0,67.99089069,24.15581943,63.8917004,14.68134801,0,0.21517115,16.48236416,55.00542189,28.54389263,12.73297049,9.029622533,8,40.93163961,40.98707419,-73.17531043,-72.99237632,1525894
63,9,272,C,"Bridgeport, CT",143,1221276,74199,74199,0,1147077,-73.17886,41.172,4649,0.76,1,1,47.7070079,18.15791352,46.38157895,91.25077458,1,0.25691241,53.87392755,99.73307594,42.7991814,44.51820194,102.8737214,15,41.13397583,41.20604078,-73.24876124,-73.1101748,61512
64,68,1506,C,"New Haven, CT",53,8678829,3915547,3592660,322887,4763282,-72.90473,41.29883,7042,0.66,0,1,13.58444187,53.3779121,17.60531136,82.79112446,1,0.159136367,80.11916111,99.51262527,76.37484235,81.49594049,127.1276671,13,41.28234994,41.3041773,-72.91225603,-72.90012971,134023
65,106,203,C,"Port of Providence, RI",65,6426039,3930173,3508510,421663,2495866,-71.39844,41.81178,3314,0.91,0,0,24.37825333,29.69564286,22.5503663,56.18594785,0,0.118777885,61.89346997,99.04431654,30.51781167,29.8476603,140.8762173,7,41.79702535,41.81937242,-71.40608121,-71.38997054,660728
66,8,90,C,"Boston, MA",76,4455140,2504396,2113784,390612,1950744,-71.032029,42.342468,210,0,0,0,5.272797378,64.14820455,5.924667438,10.00166834,0,0.4239511,90.50285987,85.56941813,35.58051543,42.09495655,156.0631995,45,42.32928392,42.3847185,-71.06940277,-71.01777932,800930
67,113,78,C,"Portsmouth, NH",122,1927081,1743163,1743163,0,183918,-70.73806,43.07398,6672,0.25,0,0,65.59547908,28.03940699,62.5409678,51.53367653,0,0.382365375,17.37607245,39.8991885,33.74818552,23.32326683,37.90739944,5,43.07059148,43.08167839,-70.76325665,-70.73701184,211969
68,112,99,C,"Portland, ME",79,4283216,3799672,3799672,0,483544,-70.25134,43.64951,4053,0.17,0,0,9.858781569,58.37398567,9.300896472,45.77792078,0,0.1803007,64.63060057,82.49383334,63.65204769,16.85598581,64.49985172,22,43.60956283,43.68024191,-70.28366093,-70.22545462,303065
69,123,77,C,"Searsport, ME",139,1364384,1235149,1235149,0,129235,-68.92497,44.45285,6292,0.44,0,1,74.87348178,56.22754206,80.77284558,51.08322608,1,0.1438604,24.58889418,7.612102146,85.43059753,19.57955125,8.042512401,4,44.43779007,44.46481443,-68.93296278,-68.88584339,39596
70,1,505,C,"Albany Port District, NY",75,4706700,736750,366738,370012,3969950,-73.74816,42.64271,3063,0.97,1,1,33.00077116,19.18830164,30.85719105,95.68020401,1,0,68.75953289,99.96425124,47.86188516,117.1266949,110.6051353,15,42.60839125,42.65112207,-73.76731996,-73.74422222,314851
71,18,3227,L,"Conneaut, OH",95,2916594,109788,42990,66798,2806806,-80.5486,41.96671,3074,0.73,0,1,48.21187584,80.42500535,44.91999229,57.37404071,1,0,67.65610105,58.75665821,92.42795612,143.066819,11.12864845,3,41.95938803,41.97601841,-80.57576166,-80.52431144,97567
72,5,3219,L,"Ashtabula Port Authority, OH",150,1145145,479882,416822,63060,665263,-80.793976,41.903685,1697,0.79,1,1,49.98554078,63.02857959,46.54786003,82.36093236,1,0,55.66372736,99.05146629,98.22002237,86.8230299,24.95607486,11,41.89572489,41.91651285,-80.82573696,-80.75609727,97567
73,17,3217,L,"Cleveland-Cuyahoga Port, OH",49,9239412,1414217,1214891,199326,7825195,-81.67191,41.47852,1637,0,0,0,37.70483902,29.15189301,39.47127434,89.2034892,1,0,78.13632031,99.99165862,23.45501273,215.0761779,134.9381144,34,41.4472245,41.5121869,-81.73027337,-81.62425474,1264775
74,53,3212,L,"Marblehead, OH",109,2287124,12775,0,12775,2274349,-82.70906,41.52962,2006,0.21,0,0,80.47281666,31.11391381,74.5373048,36.94051194,0,0,24.78551001,25.07179542,43.27392142,0.010809938,12.00075974,5,41.508549,41.59066147,-82.91206928,-82.70211082,40362
75,122,3213,L,"Sandusky, OH",129,1781881,846870,101413,745457,935011,-82.71227,41.47022,1245,0.92,0,1,46.1827646,35.79468386,42.99089069,85.60465227,1,0,83.69280267,85.00220451,49.9083835,9.542866476,13.97960476,7,41.44098811,41.48152465,-82.74888374,-82.66885007,75619
76,139,3204,L,"Toledo-Lucas County Port, OH",44,10245290,2614996,1111922,1503074,7630294,-83.50751,41.66294,1435,0.82,0,1,16.94380181,78.09949313,14.97614228,73.12312312,1,0,80.62797903,99.98689212,96.56973562,77.09813972,64.58718908,22,41.62454297,41.69198837,-83.56295641,-83.46317417,431281
77,61,3198,L,"Monroe, MI",103,2547414,306122,306122,0,2241292,-83.390609,41.915134,1378,0.96,0,1,27.70387507,60.34671489,25.90008676,70.54554555,1,0,84.31124881,97.38080768,94.31382814,72.21998528,35.90061878,4,41.87769421,41.92111796,-83.40219613,-83.34306591,154802
78,21,3321,L,"Detroit-Wayne County Port, MI",51,9058895,2374484,2294967,79517,6684411,-83.109586,42.269094,1994,0,0,0,43.30899364,11.74118935,86.5372566,97.50226417,1,0,75.04170639,97.06026049,27.27553959,191.5771455,31.44004391,15,42.24886047,42.28835761,-83.12670504,-83.09604279,1793914
79,54,3500,L,"Marine City, MI",132,1675227,34190,34190,0,1641037,-82.50235,42.71545,4209,0.5,0,0,43.41261808,55.35421079,45.77308656,34.2985843,1,0,52.47497617,62.23262908,85.01058944,5.361350751,37.55037214,3,42.68800627,42.731661,-82.51449942,-82.48227807,160379
80,2,3617,L,"Alpena, MI",114,2197451,35968,18739,17229,2161483,-83.421733,45.061967,2860,0.79,0,1,60.39256796,29.48742355,56.12830152,64.91372325,1,0,63.97283127,91.93508026,44.49944078,35.26472821,12.11794128,1,45.04873976,45.07550426,-83.44437116,-83.40409447,28912
81,114,3619,L,"Presque Isle Township, MI",78,4295313,625050,81368,543682,3670263,-83.421382,45.29794,1416,0.11,0,0,95.91406401,20.63155891,91.20879121,16.11969112,0,0,7.73593899,3.715487553,44.62199272,0,0,1,45.28650213,45.30729009,-83.44385146,-83.40747252,12988
82,117,3635,L,"Rogers City, MI",64,6768390,207496,46516,160980,6560894,-83.811972,45.422298,2481,0.68,0,1,37.72652786,50.20227019,35.21062271,45.63849564,0,0,25.0321735,25.28271309,95.25497942,0,39.71940577,1,45.39122151,45.44007323,-83.85727215,-83.72838676,12988
83,16,3627,L,"Clark Township, MI",100,2751495,111660,40276,71384,2639835,-84.31281,45.99139,1469,0.46,0,0,97.07803162,13.83885015,92.95956237,32.21674055,0,0,4.647283127,12.90768479,44.72669728,4.315567697,10.20822301,1,45.94781932,46.03512878,-84.4528474,-84.19507661,10830
84,63,3803,L,"Mueller Township, MI",85,3892660,77213,76963,250,3815447,-85.872972,45.969424,2301,0.63,0,0,99.47344322,4.804511815,98.71794872,43.71991039,0,0,1.519304099,8.387850189,15.94483973,11.88766386,0,1,45.92183436,46.07982291,-85.97348718,-85.71571639,8050
85,55,3841,L,"Marquette, MI",71,5534389,325599,283905,41694,5208790,-87.384821,46.577292,2802,0.96,0,0,63.5784172,16.60162292,59.15871409,71.3701797,0,0,21.66468065,67.35185119,40.59205673,30.21298312,8.573054155,2,46.57366705,46.58562013,-87.39434471,-87.37667494,66013
86,26,3778,L,"Green Bay, WI",125,1808265,406009,406009,0,1402256,-88.018118,44.516215,1603,0.91,1,1,52.67495662,10.68581491,51.60979372,89.1963392,1,0,65.25619638,99.14202981,13.88406349,88.96254934,79.88897362,14,44.50513442,44.54671036,-88.0886628,-87.92859546,268740
87,59,3756,L,"Milwaukee, WI",119,2117763,979811,924871,54940,1137952,-87.89967,42.98824,3409,0.37,0,0,6.458453827,58.31330462,5.671631001,36.31488631,0,0,72.18898951,98.90370476,62.97146801,70.11937276,91.53884782,24,42.91147692,43.12143538,-87.91508328,-87.87870434,939471
88,38,3749,L,"Illinois International Port, IL",46,10054729,2500462,2500229,233,7554267,-87.63799,41.88662,6725,0.07,0,0,5.547522653,24.2557647,5.55354733,12.83902951,0,0,91.76835081,99.73665082,7.205577898,152.3591276,230.9213028,0,41.85414895,41.90923706,-87.64432001,-87.63366618,5275555
89,73,3743,L,"Northern Indiana District, IN",25,25447430,360172,289293,70879,25087258,-87.202507,41.625047,3249,0.67,0,0,67.61736071,42.21140804,81.52111047,32.56232423,1,0,37.63107722,94.51852381,37.5556243,58.73042455,26.97645059,8,41.61352824,41.64990718,-87.23401752,-87.12592009,173207
