SID,PORT_ID,port,start_date,end_date,total_impact,max_impact,day_of_recover,CCD,BCD,ECD,max_impact_date,start_recovery_date (Slope),end_recovery_date,total_impact_value,C_normal,C_cyclone,B_normal,B_cyclone,E_normal,E_cyclone,Wind_speed,Surge_height,Rainfall,Seaport,Pop_C,Pop_CT,PCT_Pov,WF,IF_CEJ,PCT_TA,PCT_ACEW,PCT_TI,PCT_SV,IF_ETC,SL,PCT_CD,PCT_EB,PCT_HV,Railway_Length,Highway_Length,Dock_Couunt
2017277N11279,49,"Panama City Port Authority, FL",10/7/2017,10/8/2017,5,1,5,0.111944774,0,0.047408536,10/2/2017,10/6/2017 0:00,10/7/2017 0:00,7.888100904,0.111944774,0,0,0,0.047408536,5.27E-30,13.3,0.716,0.15,1,175208,2261,0.88,0,1,52.32191055,20.57206768,48.73120301,84.67634301,1,0.179502326,33.2113918,98.33410789,47.95350165,20.95162898,10.08867326,10
2016158N22272,128,"Canaveral Port District, FL",6/6/2016,6/7/2016,5,1,5,0.137197711,4.99E-06,0.040739371,6/8/2016,6/12/2016 0:00,6/13/2016 0:00,10.67051091,0.137197711,0,4.99E-06,0,0.040739371,2.15E-30,13.9,0.472,0.4403,1,606621,2131,0,0,0,28.35333526,79.73966637,28.38948332,36.98579532,1,0.460419931,88.73331745,72.29590438,68.83492373,0,35.98131128,22
2021239N17281,127,"Manatee County Port, FL",8/28/2021,8/28/2021,4.040139921,1,5,0.025670635,0.000189548,0.034530033,8/24/2021,8/27/2021 0:00,8/29/2021 0:00,11.32533299,0.157361564,0.131690929,0.000189548,0,0.053509304,0.018979271,12.2,0.267,0.0001,1,399714,4204,0.27,1,1,61.55894544,99.87387859,75.53499132,67.56041756,1,8.638611,72.21282173,61.42113228,78.93534493,28.12006348,12.09063735,9
2016242N24279,128,"Canaveral Port District, FL",9/1/2016,9/2/2016,5,1,5,0,0,0,8/26/2016,8/30/2016 0:00,8/31/2016 0:00,11.36831566,0.156834421,0.199453294,0.001768518,0.002599395,0.058520246,0.106669267,16.1,0.257,1.8503,1,606621,2131,0,0,0,28.35333526,79.73966637,28.38948332,36.98579532,1,0.460419931,88.73331745,72.29590438,68.83492373,0,35.98131128,22
2019236N10314,51,"Port of Brunswick, GA",9/3/2019,9/6/2019,5,1,5,0,0,0.062166973,9/2/2019,9/6/2019 0:00,9/7/2019 0:00,12.84715256,0.202986529,0.207039337,0.001916915,0.015837359,0.120760266,0.058593293,19.3,0.755,10.3007,1,84500,5359,0.51,0,0,93.57528436,7.209147372,96.45748988,13.58739692,0,0.402141383,3.646329838,32.59333405,5.07103253,24.94975637,10.89814897,14
2019265N12301,144,"Virgin Islands - St. Croix, VI",9/23/2019,9/25/2019,3.416444271,0.711894902,5,0.057778485,0.003942959,0.027142567,9/21/2019,9/24/2019 0:00,9/26/2019 0:00,14.99085344,0.173305398,0.115526913,0.003942959,0,0.030256588,0.003114022,10.3,0.173,9.9535,1,82872,3021,0,1,1,67.72821477,78.18337577,99.16377482,41.95981696,1,5.253558,60.17755005,15.54355986,82.82964091,0,21.18037145,4
2019260N13317,144,"Virgin Islands - St. Croix, VI",9/20/2019,9/21/2019,3.4571192,0.722282384,5,0.057778485,0.003942959,0.027142567,9/21/2019,9/24/2019 0:00,9/26/2019 0:00,15.52957432,0.173305398,0.115526913,0.003942959,0,0.030256588,0.003114022,6.1,0.102,0.7905,1,82872,3021,0,1,1,67.72821477,78.18337577,99.16377482,41.95981696,1,5.253558,60.17755005,15.54355986,82.82964091,0,21.18037145,4
2020233N14313,37,"Lake Charles Harbor District, LA",8/26/2020,8/28/2020,5,1,5,0.131397266,0.002289882,0.069360136,8/29/2020,9/2/2020 0:00,9/3/2020 0:00,17.48040844,0.131397266,0,0.002289882,0,0.069360136,7.11E-43,41.8,1.37,19.9505,1,216783,4464,0.36,0,0,91.85343166,55.07222235,87.86027569,14.27260594,0,6.039098679,32.47735939,36.01329854,27.13751993,8.420022321,10.2096898,7
2021169N23268,30,"Port Freeport, TX",6/18/2021,6/19/2021,2.791318696,0.649902553,5,0.016200631,0.005861551,0.026597546,6/19/2021,6/23/2021 0:00,6/24/2021 0:00,23.45824234,0.19531523,0.179114598,0.00590051,3.90E-05,0.150320129,0.123722582,8.2,0.283,0,1,372035,6037,0.81,0,1,39.36162522,88.575304,40.51354347,90.05553172,1,0.1214167,78.23522402,99.28144997,82.28708088,45.79533704,34.44388847,29
2020234N14280,35,"Port Arthur, TX",8/25/2020,8/25/2020,5,1,5,0.159461476,0.004477025,0.092249915,8/25/2020,8/29/2020 0:00,8/30/2020 0:00,25.34955709,0.159461476,0,0.004477025,0,0.092249915,9.86E-45,7.1,0.243,0.1101,1,256521,2279,0.36,0,0,93.48611914,46.72203317,97.5913341,37.92125459,0,7.013639755,24.40896092,19.14345976,20.15562906,47.91782569,26.92577563,31
2020233N14313,35,"Port Arthur, TX",8/26/2020,8/27/2020,5,1,5,0.159461476,0.004477025,0.092249915,8/25/2020,8/29/2020 0:00,8/30/2020 0:00,26.08981132,0.159461476,0,0.004477025,0,0.092249915,9.86E-45,19.6,0.742,7.5204,1,256521,2279,0.36,0,0,93.48611914,46.72203317,97.5913341,37.92125459,0,7.013639755,24.40896092,19.14345976,20.15562906,47.91782569,26.92577563,31
2016242N24279,61,"New York, NY & NJ",9/5/2016,9/8/2016,1.719172414,0.453189733,5,0.021630571,0.006173573,0.067541369,9/5/2016,9/9/2016 0:00,9/10/2016 0:00,59.51304163,0.20699398,0.185363409,0.023728439,0.017554866,0.187421201,0.119879832,9,0.315,0,1,2736119,2223,0.67,0,0,50.52896665,11.01420651,46.98525159,58.63959197,1,0.031374168,70.76739752,99.11938893,13.16659924,5.310926804,13.23278936,238
2016273N13300,52,"Port of Savannah, GA",10/7/2016,10/9/2016,5.792352016,1,5,0.002290408,0,0.055156861,10/7/2016,10/11/2016 0:00,10/12/2016 0:00,84.25618329,0.206457075,0.204166667,0.013675413,0.039594666,0.190269283,0.135112422,26.4,1.528,17.4202,1,295291,2929,0.61,0,0,4.542606516,90.60633463,8.220069404,72.05538872,1,2.542949951,98.80243089,97.59172535,71.65837756,86.51748892,96.48221647,26
2017228N14314,32,"Galveston, TX",8/24/2017,8/31/2017,3.385606167,0.856601654,5,0.045617805,0,0.175804375,8/31/2017,8/31/2017 0:00,9/5/2017 0:00,166.7074863,0.185064446,0.13944664,0.003240394,0.013603676,0.217158473,0.041354098,19.7,0.806,193.1033,1,350684,3429,0.98,1,1,78.81603046,38.91559384,98.83000771,67.49725916,1,1.06381052,79.10867493,75.00446859,18.08771387,106.5651843,52.11589621,50
2021239N17281,43,"New Orleans, LA",8/28/2021,8/31/2021,6.793798934,0.9631026,5,0.093094808,0.003981855,0.212683457,9/2/2021,9/2/2021 0:00,9/7/2021 0:00,182.216551,0.19607448,0.102979671,0.003981855,0,0.2139159,0.001232443,22.4,1.674,37.4807,1,440783,1873,0.74,0,1,79.9944573,38.26475977,79.84263543,89.62295629,1,5.883773194,71.61105815,97.5941086,26.48549604,70.50210197,71.52025534,78
2021252N28273,43,"New Orleans, LA",9/8/2021,9/8/2021,6.808289812,0.96318272,5,0.093094808,0.003981855,0.212683457,9/2/2021,9/2/2021 0:00,9/7/2021 0:00,183.9984405,0.19607448,0.102979671,0.003981855,0,0.2139159,0.001232443,4.6,0.218,0,1,440783,1873,0.74,0,1,79.9944573,38.26475977,79.84263543,89.62295629,1,5.883773194,71.61105815,97.5941086,26.48549604,70.50210197,71.52025534,78
2017228N14314,33,"Houston Port Authority, TX",8/25/2017,8/31/2017,8.607458343,1,5,0.062519836,0.021081561,0.208447037,8/31/2017,8/31/2017 0:00,9/5/2017 0:00,582.9829606,0.231323664,0.168803828,0.033070681,0.01198912,0.334950651,0.126503614,12.3,3.183,255.252,1,4731122,3669,0.92,1,1,42.20768267,27.16845537,44.12352998,91.38543305,1,0.028902552,77.87178265,98.28048475,20.33529258,255.2834684,79.16706021,229
2023292N13309,140,"Guaynabo, PR",10/22/2023,10/23/2023,4,1,4,0.044324564,0,0.001558939,10/19/2023,10/22/2023 0:00,10/23/2023 0:00,4.853587284,0.044324564,0,0,0,0.001558939,0,5.5,0.164,0,1,82872,3021,0.96,1,1,67.72821477,78.18337577,99.16377482,41.95981696,1,5.253558,60.17755005,15.54355986,82.82964091,0,77.24948833,4
2017212N28275,49,"Panama City Port Authority, FL",7/30/2017,7/31/2017,4,1,4,0,0.000103187,0.028810312,8/2/2017,8/5/2017 0:00,8/6/2017 0:00,6.374542076,0.128356554,0.165211716,0.000103187,0,0.060418666,0.031608354,7,0.102,0.21,1,175208,2261,0.88,0,1,52.32191055,20.57206768,48.73120301,84.67634301,1,0.179502326,33.2113918,98.33410789,47.95350165,20.95162898,10.08867326,10
2015167N27266,36,"Orange County Nav District, TX",6/16/2015,6/17/2015,4,1,4,0.024875437,0.000420461,0.045581293,6/15/2015,6/18/2015 0:00,6/19/2015 0:00,7.771911119,0.146921642,0.122046205,0.000420461,0,0.054514546,0.008933253,10.8,0.627,0.01,1,84810,3283,0.75,0,0,65.3340081,44.87661519,72.45638134,72.88717289,1,1.409428011,47.78717827,78.26713855,48.00466411,24.80922205,22.5410433,8
2020154N19269,47,"Port of Pascagoula, MS",6/7/2020,6/8/2020,2.657543314,0.680175679,4,0.171596012,0.000984903,0.074372846,6/5/2020,6/8/2020 0:00,6/9/2020 0:00,7.937046569,0.171596012,0,0.000984903,0,0.074372846,3.24E-40,19.9,1.1,72.6619,1,143245,2080,0.82,1,1,37.15900328,83.52092902,34.65876229,48.63792364,1,2.482743,70.79122974,65.39877739,81.02110749,24.23887335,24.62524043,2
2022154N21273,128,"Canaveral Port District, FL",6/4/2022,6/5/2022,3.66020311,1,4,0,0,0,6/3/2022,6/5/2022 0:00,6/7/2022 0:00,9.832207853,0.160651611,0.192604167,0.001800769,0.01139577,0.05558845,0.153143006,8.7,0.106,0.7608,1,606621,2131,0,0,0,28.35333526,79.73966637,28.38948332,36.98579532,1,0.460419931,88.73331745,72.29590438,68.83492373,0,35.98131128,22
2018242N13343,54,"Wilmington, NC",9/13/2018,9/17/2018,2.854267581,0.723130832,4,0.029931519,0.003573566,0.042889034,9/12/2018,9/15/2018 0:00,9/16/2018 0:00,10.08296353,0.193797065,0.163865546,0.003573566,0,0.107252206,0.064363172,28.6,1.08,118.9007,1,225707,1846,0.89,0,1,32.78147291,49.1397568,31.96332177,73.42223176,1,2.101888761,63.25786463,89.93910795,36.46693477,26.25174742,53.52483823,20
2023292N13309,144,"Virgin Islands - St. Croix, VI",10/21/2023,10/23/2023,1.434457394,0.432144437,4,0,0.002085869,0,10/25/2023,10/28/2023 0:00,10/29/2023 0:00,10.92871329,0.139023561,0.16194332,0.002085869,0,0.013151848,0.046354835,4.2,0.211,0,1,82872,3021,0,1,1,67.72821477,78.18337577,99.16377482,41.95981696,1,5.253558,60.17755005,15.54355986,82.82964091,0,21.18037145,4
2017242N16333,128,"Canaveral Port District, FL",9/10/2017,9/11/2017,4,1,4,0.172238641,0.003472113,0.077109125,9/8/2017,9/11/2017 0:00,9/12/2017 0:00,10.93070326,0.172238641,0,0.003472113,0,0.077109125,8.76E-33,22.9,1.066,9.9009,1,606621,2131,0,0,0,28.35333526,79.73966637,28.38948332,36.98579532,1,0.460419931,88.73331745,72.29590438,68.83492373,0,35.98131128,22
2015126N27281,66,"Boston, MA",5/12/2015,5/12/2015,2.89753877,1,4,0.002499558,0,0,5/12/2015,5/15/2015 0:00,5/16/2015 0:00,14.13330106,0.154630543,0.152130986,0.007165281,0.007995431,0.052912325,0.062198007,9.9,0.046,0.0305,1,800930,210,0,0,0,5.272797378,64.14820455,5.924667438,10.00166834,0,0.4239511,90.50285987,85.56941813,35.58051543,42.09495655,156.0631995,45
2016273N13300,51,"Port of Brunswick, GA",10/7/2016,10/8/2016,5.403959986,1,4,0.037991693,0.002383418,0.073066081,10/7/2016,10/10/2016 0:00,10/11/2016 0:00,15.42212991,0.175246595,0.137254902,0.002383418,0,0.101762218,0.028696137,17.6,1.242,37.531,1,84500,5359,0.51,0,0,93.57528436,7.209147372,96.45748988,13.58739692,0,0.402141383,3.646329838,32.59333405,5.07103253,24.94975637,10.89814897,14
2020211N13306,52,"Port of Savannah, GA",8/2/2020,8/4/2020,1.626629219,0.566259636,4,0.010454134,0,0.117333132,8/3/2020,8/6/2020 0:00,8/7/2020 0:00,18.55041354,0.23454377,0.224089636,0.020683639,0.021852022,0.245010942,0.12767781,14,0.505,0.2505,1,295291,2929,0.61,0,0,4.542606516,90.60633463,8.220069404,72.05538872,1,2.542949951,98.80243089,97.59172535,71.65837756,86.51748892,96.48221647,26
2021169N23268,56,"Virginia, VA, Port of",6/21/2021,6/21/2021,1.979708054,0.497874153,4,0.037711786,0.004019216,0,6/18/2021,6/21/2021 0:00,6/22/2021 0:00,34.23220423,0.202768758,0.165056972,0.004228249,0.000209033,0.133467906,0.15261638,5.9,0.208,0.0003,1,238005,2546,0.31,0,0,31.81029497,30.23582324,29.61128783,30.54006387,0,0.262182302,50.38012393,99.38631299,13.11186731,257.5222337,57.21231589,21
2017260N12310,144,"Virgin Islands - St. Croix, VI",9/18/2017,9/21/2017,6.809574731,1,4,0.116040733,0.003117344,0.017214204,9/25/2017,9/28/2017 0:00,9/29/2017 0:00,36.09313042,0.116040733,0,0.003117344,0,0.017214204,2.29E-33,22.1,0.565,31.8908,1,82872,3021,0,1,1,67.72821477,78.18337577,99.16377482,41.95981696,1,5.253558,60.17755005,15.54355986,82.82964091,0,21.18037145,4
2016273N13300,50,"Jacksonville, FL",10/6/2016,10/8/2016,3.609224284,0.811645742,4,0.046077834,0.012621331,0.142799229,10/6/2016,10/8/2016 0:00,10/10/2016 0:00,36.27329954,0.20841487,0.162337035,0.027438034,0.014816703,0.205585062,0.062785833,14,0.634,18.1943,1,995566,2320,0.94,1,1,28.973877,35.3806249,72.24672258,87.88431288,1,0.225099112,81.9506673,99.18254507,43.9782976,75.09877095,135.9016911,20
2019236N10314,50,"Jacksonville, FL",9/3/2019,9/5/2019,4.552419098,1,4,0.042037646,0.003571415,0.160881552,9/2/2019,9/4/2019 0:00,9/6/2019 0:00,36.51474744,0.246850754,0.204813108,0.034113508,0.030542092,0.211252646,0.050371094,11.4,0.497,3.9845,1,995566,2320,0.94,1,1,28.973877,35.3806249,72.24672258,87.88431288,1,0.225099112,81.9506673,99.18254507,43.9782976,75.09877095,135.9016911,20
2017242N16333,50,"Jacksonville, FL",9/10/2017,9/12/2017,3.76540996,0.89775338,4,0.046621301,0,0.192419396,9/10/2017,9/12/2017 0:00,9/14/2017 0:00,37.2317627,0.216187772,0.169566471,0.023940403,0.089041183,0.225860606,0.03344121,25.9,1.489,31.063,1,995566,2320,0.94,1,1,28.973877,35.3806249,72.24672258,87.88431288,1,0.225099112,81.9506673,99.18254507,43.9782976,75.09877095,135.9016911,20
2021239N17281,40,"Port of Greater Baton Rouge, LA",8/29/2021,8/31/2021,3.791749884,1,4,0.038937942,0.001405222,0.138857095,9/3/2021,9/4/2021 0:00,9/7/2021 0:00,40.98342489,0.1789824,0.140044459,0.001405222,0,0.167092468,0.028235373,13.2,0.162,12.0709,1,27202,4545,0.4,0,0,46.28518411,85.47819051,68.64396568,40.50002383,1,0,55.107245,59.07958865,83.636342,61.97788469,74.13467471,23
2017242N16333,52,"Port of Savannah, GA",9/11/2017,9/12/2017,3.936792936,0.9308065,4,0.079149032,0.010767891,0.224755768,9/10/2017,9/12/2017 0:00,9/14/2017 0:00,63.59202605,0.215071362,0.13592233,0.016602652,0.005834761,0.232184793,0.007429025,21.4,1.349,7.1203,1,295291,2929,0.61,0,0,4.542606516,90.60633463,8.220069404,72.05538872,1,2.542949951,98.80243089,97.59172535,71.65837756,86.51748892,96.48221647,26
2017228N14314,27,"Corpus Christi, TX",8/24/2017,8/30/2017,5.939980566,0.899203995,4,0.175012805,0.001762142,0.174423246,8/28/2017,8/28/2017 0:00,9/1/2017 0:00,114.2940928,0.175012805,0,0.001762142,0,0.174423246,2.45E-32,26.2,0.308,26.7552,1,353175,2730,0.79,0,1,72.53831695,39.14760964,98.35164835,81.38018971,1,0.398266001,48.55219256,83.9214004,22.78276182,44.69976388,72.05149245,34
2021182N09317,140,"Guaynabo, PR",7/2/2021,7/3/2021,3,1,3,0.03170849,0,0.000470393,7/1/2021,7/3/2021 0:00,7/4/2021 0:00,3.374911253,0.03170849,0,0,0,0.000470393,6.96E-26,9.6,-0.057,0,1,82872,3021,0.96,1,1,67.72821477,78.18337577,99.16377482,41.95981696,1,5.253558,60.17755005,15.54355986,82.82964091,0,77.24948833,4
2021239N17281,46,"Port of Gulfport, MS",8/28/2021,8/31/2021,3,1,3,0.17180278,0.002067148,0.055899983,8/30/2021,9/1/2021 0:00,9/2/2021 0:00,3.604954223,0.17180278,0,0.002067148,0,0.055899983,0,24.3,2.099,100.3916,1,208620,848,0.71,0,0,53.73529979,23.67275064,54.80648737,68.58406025,1,0.151334545,59.95114395,69.50035153,21.89515265,30.51200325,40.90197572,19
2020138N28281,128,"Canaveral Port District, FL",5/16/2020,5/17/2020,3,1,3,0,0.005322274,0,5/12/2020,5/14/2020 0:00,5/15/2020 0:00,3.891844074,0.177928417,0.183051183,0.005322274,0,0.05797709,0.094342263,8.8,-0.008,0.3607,1,606621,2131,0,0,0,28.35333526,79.73966637,28.38948332,36.98579532,1,0.460419931,88.73331745,72.29590438,68.83492373,0,35.98131128,22
2020261N21265,29,"Calhoun Port Authority, TX",9/20/2020,9/23/2020,3,1,3,0.008378773,1.63E-05,0.01324403,9/20/2020,9/22/2020 0:00,9/23/2020 0:00,3.930296925,0.13838827,0.130009497,1.63E-05,0,0.042004258,0.028760228,14.7,0.787,4.14,1,20105,4605,0.78,0,1,29.7462406,98.19384623,27.78340081,79.19467086,1,0.148552897,61.81124881,51.40552199,89.08454894,0,12.86644873,21
2017242N16333,49,"Panama City Port Authority, FL",9/11/2017,9/12/2017,3,1,3,0,2.70E-05,0,9/9/2017,9/11/2017 0:00,9/12/2017 0:00,4.693378762,0.125515304,0.144341707,2.70E-05,0,0.046146871,0.094419303,13,0.082,0.71,1,175208,2261,0.88,0,1,52.32191055,20.57206768,48.73120301,84.67634301,1,0.179502326,33.2113918,98.33410789,47.95350165,20.95162898,10.08867326,10
2016158N22272,127,"Manatee County Port, FL",6/6/2016,6/7/2016,3,1,3,0.015338279,0.000167241,0.022304409,6/2/2016,6/4/2016 0:00,6/5/2016 0:00,4.725251186,0.14103624,0.125697961,0.000167241,0,0.034645529,0.01234112,15.8,0.538,66.1564,1,399714,4204,0.27,1,1,61.55894544,99.87387859,75.53499132,67.56041756,1,8.638611,72.21282173,61.42113228,78.93534493,28.12006348,12.09063735,9
2019239N32287,65,"Port of Providence, RI",8/29/2019,8/29/2019,3,1,3,0.117894811,0.001271053,0.017953356,8/30/2019,9/1/2019 0:00,9/2/2019 0:00,4.787828553,0.140366721,0.02247191,0.001526416,0.000255363,0.017953356,8.03E-28,6.68,0.316,3.8803,1,660728,3314,0.91,0,0,24.37825333,29.69564286,22.5503663,56.18594785,0,0.118777885,61.89346997,99.04431654,30.51781167,29.8476603,140.8762173,7
2020211N13306,54,"Wilmington, NC",8/3/2020,8/4/2020,3,1,3,0.035650161,0.001803445,0.117578899,8/2/2020,8/4/2020 0:00,8/5/2020 0:00,5.026904645,0.198400644,0.162750483,0.00527766,0.003474215,0.135604551,0.018025652,30.8,1.325,22.2704,1,225707,1846,0.89,0,1,32.78147291,49.1397568,31.96332177,73.42223176,1,2.101888761,63.25786463,89.93910795,36.46693477,26.25174742,53.52483823,20
2019299N25265,139,"Brownsville, TX",10/25/2019,10/25/2019,3,1,3,0.12582714,8.55E-06,0.043501037,10/27/2019,10/29/2019 0:00,10/30/2019 0:00,5.228139041,0.12582714,0,8.55E-06,0,0.043501037,6.63E-35,14.4,0.627,0.0005,1,421020,5072,0.88,0,1,53.96062271,99.93812912,66.62087912,95.00572001,1,11.17156,70.02025739,13.95631502,76.04645075,71.39610443,31.45825332,31
2023234N25271,139,"Brownsville, TX",8/22/2023,8/23/2023,1.923159212,0.664077548,3,0,0,0,8/18/2023,8/20/2023 0:00,8/21/2023 0:00,5.375583172,0.113786309,0.162192982,0,0,0.037563308,0.070609986,7.1,0.288,6.6713,1,421020,5072,0.88,0,1,53.96062271,99.93812912,66.62087912,95.00572001,1,11.17156,70.02025739,13.95631502,76.04645075,71.39610443,31.45825332,31
2019261N28264,139,"Brownsville, TX",9/17/2019,9/18/2019,3,1,3,0.157168436,0.000119046,0.073387706,9/15/2019,9/17/2019 0:00,9/18/2019 0:00,5.903072541,0.157168436,0,0.000119046,0,0.073387706,0,8.7,0.342,0,1,421020,5072,0.88,0,1,53.96062271,99.93812912,66.62087912,95.00572001,1,11.17156,70.02025739,13.95631502,76.04645075,71.39610443,31.45825332,31
2018268N14253,26,"San Diego Unified Port, CA",10/2/2018,10/2/2018,3.591686778,1,3,0.085065731,0.002339115,2.62E-07,9/28/2018,9/30/2018 0:00,10/1/2018 0:00,6.566227082,0.085065731,0,0.002339115,0,2.62E-07,3.07E-29,5.7,-0.056,0,1,3298648,4066,0,0,0,26.4085695,16.5861552,25.43618662,38.77687211,0,0.148434323,82.43922784,97.53810222,25.56933108,38.48090921,115.5992293,32
2021252N28273,49,"Panama City Port Authority, FL",9/8/2021,9/9/2021,3,1,3,0,0.000214305,0.003076544,9/6/2021,9/8/2021 0:00,9/9/2021 0:00,6.703622722,0.142547236,0.156761134,0.000214305,0,0.047838958,0.044762414,12.3,0.177,2.2802,1,175208,2261,0.88,0,1,52.32191055,20.57206768,48.73120301,84.67634301,1,0.179502326,33.2113918,98.33410789,47.95350165,20.95162898,10.08867326,10
2016273N13300,127,"Manatee County Port, FL",10/6/2016,10/8/2016,3.589993602,1,3,0.02654087,0.000994954,0.02680896,10/6/2016,10/8/2016 0:00,10/9/2016 0:00,6.732906691,0.147025389,0.120484518,0.000994954,0,0.045334949,0.018525989,10.2,0.118,0.4848,1,399714,4204,0.27,1,1,61.55894544,99.87387859,75.53499132,67.56041756,1,8.638611,72.21282173,61.42113228,78.93534493,28.12006348,12.09063735,9
2019291N22264,51,"Port of Brunswick, GA",10/19/2019,10/20/2019,3,1,3,0.047468176,0.005387048,0.136364497,10/19/2019,10/21/2019 0:00,10/22/2019 0:00,7.393371011,0.199884253,0.152416077,0.005387048,0,0.148728434,0.012363937,10.9,0.214,16.5209,1,84500,5359,0.51,0,0,93.57528436,7.209147372,96.45748988,13.58739692,0,0.402141383,3.646329838,32.59333405,5.07103253,24.94975637,10.89814897,14
